Pack kWh,22,,,,,,,,,,,,,,,
Cell,Ah,V,Chemistry,Size,Volume (L),Weight (g),Cell Cost,Cell Wh,Number Cells,Pack Weight (kg),Pack Cost,Maximum Nominal \Pack Voltage (V),Cost/kWh,L/kWh,kg/kWh,Pack volume (L)
http://liionbms.com/pdf/k2/LFP26650EV.pdf,3.2,3.2,,26650,0.045990533333333,82,,10.24,2148,176.136,$0,6873.6,$0,4.49,8.01,98.78
http://www.a123systems.com/automotive/products/modules/,37,14.6,Li-NCM,355 x 151 x 108,5.78934,10400,,540.2,41,426.4,$0,598.6,$0,10.72,19.25,235.84
https://www.evlithium.com/thunder-sky-winston-battery/lifepo4-40ah.html,40,3.2,Li-FePO4,116×46×183,0.976488,1600,,128,172,275.2,$0,550.4,$0,7.63,12.5,167.86
https://www.ev-power.com.au/westart-ncm-cells/,120,3.7,Li-NCM,38 x 135 x 235,1.20555,2500,,444,50,125,$0,185,$0,2.72,5.63,59.84
,,,,,,,,,,,,,,,,
https://www.aliexpress.com/item/1005002760113438.html?spm=a2g0o.productlist.0.0.2cf941f9hxfY5Y&algo_pvid=d0d950fd-ce58-43ec-bcdd-9535aa9c4a63&algo_exp_id=d0d950fd-ce58-43ec-bcdd-9535aa9c4a63-23,60,3.2,Li-FePO4,36*115*155mm,0.6417,1200,$33.53,192,115,138,"$3,856",368,$175,3.34,6.25,73.48
https://www.aliexpress.com/item/1005001315010400.html?spm=a2g0o.store_pc_groupList.8148356.54.13e14df5wPXmwN,32,3.2,Li-FePO4,100x145x20,0.29,631,$25.00,102.4,215,135.665,"$5,375",688,$244,2.83,6.16,62.26
https://www.aliexpress.com/item/1005002009272918.html?spm=a2g0o.store_pc_groupList.8148356.6.6226748fbr6zTM,13.5,3.2,Li-FePO4,102*73*27.5,0.204765,377,$13.25,43.2,509,191.893,"$6,744",1628.8,$307,4.74,8.73,104.28
https://www.aliexpress.com/item/1005002919929746.html?spm=a2g0o.store_pc_groupList.8148356.58.6226748fbr6zTM,80,3.2,Li-FePO4,185*130*36,0.8658,1630,$62.63,256,86,140.18,"$5,386",275.2,$245,3.38,6.37,74.36
https://www.aliexpress.com/item/1005001928803124.html?spm=a2g0o.store_pc_groupList.8148356.2.32aa748fBjI4pV,52,3.2,Li-FePO4,145*25*115,0.416875,966,$39.55,166.4,132,127.512,"$5,221",422.4,$237,2.51,5.81,55.22
https://www.aliexpress.com/item/4000923502418.html?spm=a2g0o.store_pc_groupList.8148356.4.32aa748fBjI4pV,90,3.2,Li-FePO4, 175 * 130 * 47,1.06925,2200,$66.00,288,76,167.2,"$5,016",243.2,$228,3.71,7.64,81.62
https://www.aliexpress.com/item/1005002845019617.html?spm=a2g0o.store_pc_groupList.8148356.22.32aa748fBjI4pV,105,3.2,Li-FePO4,200*130*38,0.988,1995,$54.87,336,65,129.675,"$3,567",208,$162,2.94,5.94,64.68
https://www.aliexpress.com/item/1005002705495773.html?spm=a2g0o.store_pc_groupList.8148356.6.32aa748fBjI4pV,280,3.2,Li-FePO4,174*72*205,2.56824,5250,$148.57,896,25,131.25,"$3,714",80,$169,2.87,5.86,63.14
https://www.aliexpress.com/item/1005002619239174.html?spm=a2g0o.store_pc_groupList.8148356.12.32aa748fBjI4pV,165,3.2,Li-FePO4,280*63*82,1.44648,3050,$111.14,528,42,128.1,"$4,668",134.4,$212,#VALUE!,5.78,#VALUE!
